📺四季嗅探,#genre#
parse=1
台視,https://www.ofiii.com/channel/watch/4gtv-4gtv066
中視,https://www.ofiii.com/channel/watch/4gtv-4gtv040
華視,https://www.ofiii.com/channel/watch/4gtv-4gtv041
公視金獎,https://www.ofiii.com/channel/watch/ofiii13
ELTV生活英語,https://www.ofiii.com/channel/watch/litv-longturn20
周星馳電影,https://www.ofiii.com/channel/watch/ofiii73
歐飛電影台,https://www.ofiii.com/channel/watch/ofiii74
歐飛動作電影台,https://www.ofiii.com/channel/watch/ofiii75
龍華卡通,https://www.ofiii.com/channel/watch/litv-longturn01
龍華經典,https://www.ofiii.com/channel/watch/litv-longturn21
龍華電影,https://www.ofiii.com/channel/watch/litv-longturn03
龍華日韓,https://www.ofiii.com/channel/watch/litv-longturn11
龍華偶像,https://www.ofiii.com/channel/watch/litv-longturn12
龍華戲劇,https://www.ofiii.com/channel/watch/litv-longturn18
SMART知識,https://www.ofiii.com/channel/watch/litv-longturn19
亞洲旅遊,https://www.ofiii.com/channel/watch/litv-longturn17
東森娛樂,https://www.ofiii.com/channel/watch/ofiii32
TVBS綜藝,https://www.ofiii.com/channel/watch/ofiii42
TVBS政論,https://www.ofiii.com/channel/watch/ofiii56
11點熱吵店,https://www.ofiii.com/channel/watch/ofiii143
寰宇新聞,https://www.ofiii.com/channel/watch/litv-longturn14
寰宇新聞台灣,https://www.ofiii.com/channel/watch/litv-longturn15
寰宇財經,https://www.ofiii.com/channel/watch/litv-longturn23
三立新聞iNEWS,https://www.ofiii.com/channel/watch/iNEWS
中天新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv009
中視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv074
台視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv051
華視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv052
台灣戲劇,https://www.ofiii.com/channel/watch/litv-longturn22
中天亞洲精采,https://www.ofiii.com/channel/watch/ofiii36
第1商業,https://www.ofiii.com/channel/watch/4gtv-4gtv104
第1財經,https://www.ofiii.com/channel/watch/ofiii64
Focus探索新知,https://www.ofiii.com/channel/watch/ofiii82
Focus風采戲劇,https://www.ofiii.com/channel/watch/ofiii1048
哆啦A夢,https://www.ofiii.com/channel/watch/ofiii22
刀劍神域,https://www.ofiii.com/channel/watch/ofiii164
蠟筆小新,https://www.ofiii.com/channel/watch/ofiii165
我們這一家,https://www.ofiii.com/channel/watch/ofiii166
間諜家家酒,https://www.ofiii.com/channel/watch/ofiii171
鬼滅之刃,https://www.ofiii.com/channel/watch/ofiii170
獵人,https://www.ofiii.com/channel/watch/ofiii167
隊長小翼,https://www.ofiii.com/channel/watch/ofiii169
中華一番,https://www.ofiii.com/channel/watch/ofiii168
關於我轉生變成史萊姆這檔事,https://www.ofiii.com/channel/watch/ofiii173
家庭教師HITMAN REBORN!,https://www.ofiii.com/channel/watch/ofiii175
烘焙王,https://www.ofiii.com/channel/watch/ofiii176
我的婆婆怎麼那麼可愛,https://www.ofiii.com/channel/watch/ofiii152
村裡來了個暴走女外科,https://www.ofiii.com/channel/watch/ofiii153
一把青,https://www.ofiii.com/channel/watch/ofiii154
茶金,https://www.ofiii.com/channel/watch/ofiii155
四樓的天堂,https://www.ofiii.com/channel/watch/ofiii156
民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=22
民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=22
民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=22
大愛電視,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=22
中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=22
中視經典台,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=22
華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=22
三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=22
客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=22
八大綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=22
中視菁采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=22
TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=22
愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=22
靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=22
靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22
新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=22
ARIRANG阿里郎頻道,https://www.4gtv.tv/channel/4gtv-4gtv079?set=1&ch=22
Global Trekker,https://www.4gtv.tv/channel/4gtv-live112?set=1&ch=22
原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=22
東森購物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=22
LiveABC互動英語頻道,https://www.4gtv.tv/channel/4gtv-live030?set=1&ch=22
達文西頻道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=22
ELTV生活英語台,https://www.4gtv.tv/channel/litv-longturn20?set=1&ch=22
Nick Jr. 兒童頻道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=22
